2026-06-07 19:20:25.488 [info] Reading sessions from keychain...
2026-06-07 19:20:25.488 [info] Getting sessions for all scopes...
2026-06-07 19:20:25.809 [info] Got stored sessions!
2026-06-07 19:20:25.809 [info] Got 1 verified sessions.
2026-06-07 19:20:25.809 [info] Got 1 sessions for ...
2026-06-07 19:20:25.809 [info] Getting sessions for all scopes...
2026-06-07 19:20:25.809 [info] Got 1 sessions for ...
2026-06-07 19:20:25.971 [info] Getting sessions for all scopes...
2026-06-07 19:20:25.971 [info] Got 1 sessions for ...
2026-06-07 19:20:25.980 [info] Getting sessions for all scopes...
2026-06-07 19:20:25.980 [info] Got 1 sessions for ...
2026-06-07 19:20:27.421 [info] Getting sessions for all scopes...
2026-06-07 19:20:27.421 [info] Got 1 sessions for ...
2026-06-07 19:20:27.489 [info] Getting sessions for all scopes...
2026-06-07 19:20:27.489 [info] Got 1 sessions for ...
2026-06-07 19:20:27.490 [info] Getting sessions for all scopes...
2026-06-07 19:20:27.490 [info] Got 1 sessions for ...
2026-06-07 19:20:27.675 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:27.675 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:27.831 [info] FetcherService: Electron fetch failed with status: 429 
2026-06-07 19:20:27.839 [info] Unable to resolve optional EDU details. Status: 429 
2026-06-07 19:20:27.885 [info] Getting sessions for all scopes...
2026-06-07 19:20:27.885 [info] Got 1 sessions for ...
2026-06-07 19:20:27.886 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:27.886 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:28.909 [info] Getting sessions for all scopes...
2026-06-07 19:20:28.909 [info] Got 1 sessions for ...
2026-06-07 19:20:28.909 [info] Getting sessions for all scopes...
2026-06-07 19:20:28.909 [info] Got 1 sessions for ...
2026-06-07 19:20:28.975 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:28.975 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.244 [info] Getting sessions for all scopes...
2026-06-07 19:20:29.244 [info] Got 1 sessions for ...
2026-06-07 19:20:29.244 [info] Getting sessions for all scopes...
2026-06-07 19:20:29.244 [info] Got 1 sessions for ...
2026-06-07 19:20:29.252 [info] Getting sessions for all scopes...
2026-06-07 19:20:29.252 [info] Got 1 sessions for ...
2026-06-07 19:20:29.252 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.252 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-06-07 19:20:29.254 [info] Getting sessions for all scopes...
2026-06-07 19:20:29.254 [info] Got 1 sessions for ...
2026-06-07 19:20:29.518 [info] Getting sessions for all scopes...
