2026-06-28 20:16:07.907 [info] Starting Python Locator /home/taianlux/.vscode/extensions/ms-python.python-2026.4.0-linux-x64/python-env-tools/bin/pet server
2026-06-28 20:16:08.199 [info] Discovered env: /usr/bin/python
2026-06-28 20:16:08.204 [info] Resolved Python Environment /usr/bin/python
2026-06-28 20:16:08.424 [info] Refresh completed in 338ms
2026-06-28 20:17:18.807 [info] Resolved Python Environment /usr/bin/python
2026-06-28 20:18:23.466 [info] Resolved Python Environment /usr/bin/python
2026-06-28 22:01:05.975 [info] Resolved Python Environment /usr/bin/python
2026-06-28 22:28:24.448 [info] Resolved Python Environment /usr/bin/python
2026-06-28 22:28:54.760 [info] Resolved Python Environment /usr/bin/python
2026-06-28 22:55:13.776 [info] Resolved Python Environment /usr/bin/python
2026-06-28 22:56:06.312 [info] Resolved Python Environment /usr/bin/python
2026-06-28 22:58:26.514 [info] Resolved Python Environment /usr/bin/python
2026-06-28 23:07:24.185 [info] Resolved Python Environment /usr/bin/python
2026-06-28 23:09:06.742 [info] Resolved Python Environment /usr/bin/python
